text,label
"Subject: new love tabs shop .
Message-ID: <GTUBE1.1010101@example.net>
Date: Wed, 23 Jul 2003 23:30:00 +0200
From: Sender <sender@example.net>
To: Recipient <recipient@example.net>
MIME-Version: 1.0
Content-Type: text/plain; charset=us-ascii
Content-Transfer-Encoding: 7bit

visit our llcensed online dragstore for the best inexpensive love drags ! viagra , ciaiis , softtabs and many other love enhancers aii in one !
 operative support , fast shippinq , secure payment processinq and complete confidentiaiity !
 ciick here to find your verlfled by bbb and approved by visa love pil 1 !",1
"Subject: save your money buy getting this thing here
Message-ID: <GTUBE1.1010101@example.net>
Date: Wed, 23 Jul 2003 23:30:00 +0200
From: Sender <sender@example.net>
To: Recipient <recipient@example.net>
MIME-Version: 1.0
Content-Type: text/plain; charset=us-ascii
Content-Transfer-Encoding: 7bit

you have not tried cialls yet ?
 than you cannot even imagine what it is like to be a real man in bed !
 the thing is that a great errrectlon is provided for you exactly when you want .
 ciails has a iot of advantaqes over viaqra
 - the effect iasts 36 hours !
 - you are ready to start within just 10 minutes !
 - you can mix it with alcohoi ! we ship to any country !
 get it right now ! .",1
"Subject: award / final notification
Message-ID: <GTUBE1.1010101@example.net>
Date: Wed, 23 Jul 2003 23:30:00 +0200
From: Sender <sender@example.net>
To: Recipient <recipient@example.net>
MIME-Version: 1.0
Content-Type: text/plain; charset=us-ascii
Content-Transfer-Encoding: 7bit

award / final notification
 luckyday international lotterij de nederland .
 bezoekadres :
 laan van hoornwijck 55
 2289 dg rijswijk
 postadres
 postbus 3059
 2280 gb rijswijk
 website : www . luckyday . nl
 ref number : mli / mol 8 - pm 2031 / 05
 ticket number : 10034 - 73002
 lucky numbers : 06 , 14 , 22 , 27 , 46 , lucky ball , 36
 attention winner ,
 be informed of the result of the lucky day lotterij winners international programs held on the 27 th march 2005 . your e - mail address attached to ticket number 10034 - 73002 with drew lucky numbers 06 , 14 , 22 , 27 , 46 , lucky ball , 36 , which consequently won in the a category , been approved for the sum payout of euros 1000 . 000 . 00 ( one million euros ) only , this is from a total cash prize of euros 20 , 000 , 000 . 00 million shared among 20 international
 lucky winners in the category a ( plus + ) .
 due to mix up of information ? s , we ask that you keep your winning information very confidential till your claims has been processed as the beneficiary , and your prize / money is remitted or subsequently onward transfer into your nominated bank account . this is in conformity with the latest transfer regulations signed by the international lottery organization since this is part of our security protocol measures to avoid double claiming and unwarranted abuse of this program by some participants .
 all participants were selected through a computer ballot system drawn from companies and individual email addresses from all over the world . this promotional program takes place annually . congratulations ! ! ! to file for your claim , please contact our / your fiduciall agent :
 mr . williams henry
 lucky day agent
 email : william @ netlimit . com
 tel : 0031 - 615 - 181 - 873 .
 note : that all winning must be claimed not later than 27 th of june . 2005 . after this date all unclaimed funds will be returned . anybody under the age of 18 is automatically disqualified , do note every letters as clearly stated as we would not be held responsible if any hitch in this transaction due to laxity on your part . so you are to expedite action , failure to file - in for the release of your winning shall be compelled losing your fund . in order to avoid unnecessary delays and complications , kindly remember to quote your reference number in all correspondence .
 congratulations from our members of staff and thanks for being part of our
 promotional program .
 sincerely yours ,
 mrs . susan banks .
 lottery coordinator .
 award / final notification
 luckyday international lotterij de nederland .
 bezoekadres :
 laan van hoornwijck 55
 2289 dg rijswijk
 postadres
 postbus 3059
 2280 gb rijswijk
 website : www . luckyday . nl
 ref number : mli / mol 8 - pm 2031 / 05
 ticket number : 10034 - 73002
 lucky numbers : 06 , 14 , 22 , 27 , 46 , lucky ball , 36
 attention winner ,
 be informed of the result of the lucky day lotterij winners international programs held on the 27 th march 2005 . your e - mail address attached to ticket number 10034 - 73002 with drew lucky numbers 06 , 14 , 22 , 27 , 46 , lucky ball , 36 , which consequently won in the a category , been approved for the sum payout of euros 1000 . 000 . 00 ( one million euros ) only , this is from a total cash prize of euros 20 , 000 , 000 . 00 million shared among 20 international
 lucky winners in the category a ( plus + ) .
 due to mix up of information ? s , we ask that you keep your winning information very confidential till your claims has been processed as the beneficiary , and your prize / money is remitted or subsequently onward transfer into your nominated bank account . this is in conformity with the latest transfer regulations signed by the international lottery organization since this is part of our security protocol measures to avoid double claiming and unwarranted abuse of this program by some participants .
 all participants were selected through a computer ballot system drawn from companies and individual email addresses from all over the world . this promotional program takes place annually . congratulations ! ! ! to file for your claim , please contact our / your fiduciall agent :
 mr . williams henry
 lucky day agent
 email : william @ netlimit . com
 tel : 0031 - 615 - 181 - 873 .
 note : that all winning must be claimed not later than 27 th of june . 2005 . after this date all unclaimed funds will be returned . anybody under the age of 18 is automatically disqualified , do note every letters as clearly stated as we would not be held responsible if any hitch in this transaction due to laxity on your part . so you are to expedite action , failure to file - in for the release of your winning shall be compelled losing your fund . in order to avoid unnecessary delays and complications , kindly remember to quote your reference number in all correspondence .
 congratulations from our members of staff and thanks for being part of our
 promotional program .
 sincerely yours ,
 mrs . susan banks .
 lottery coordinator .
 award / final notification
 luckyday international lotterij de nederland .
 bezoekadres :
 laan van hoornwijck 55
 2289 dg rijswijk
 postadres
 postbus 3059
 2280 gb rijswijk
 website : www . luckyday . nl
 ref number : mli / mol 8 - pm 2031 / 05
 ticket number : 10034 - 73002
 lucky numbers : 06 , 14 , 22 , 27 , 46 , lucky ball , 36
 attention winner ,
 be informed of the result of the lucky day lotterij winners international programs held on the 27 th march 2005 . your e - mail address attached to ticket number 10034 - 73002 with drew lucky numbers 06 , 14 , 22 , 27 , 46 , lucky ball , 36 , which consequently won in the a category , been approved for the sum payout of euros 1000 . 000 . 00 ( one million euros ) only , this is from a total cash prize of euros 20 , 000 , 000 . 00 million shared among 20 international
 lucky winners in the category a ( plus + ) .
 due to mix up of information ? s , we ask that you keep your winning information very confidential till your claims has been processed as the beneficiary , and your prize / money is remitted or subsequently onward transfer into your nominated bank account . this is in conformity with the latest transfer regulations signed by the international lottery organization since this is part of our security protocol measures to avoid double claiming and unwarranted abuse of this program by some participants .
 all participants were selected through a computer ballot system drawn from companies and individual email addresses from all over the world . this promotional program takes place annually . congratulations ! ! ! to file for your claim , please contact our / your fiduciall agent :
 mr . williams henry
 lucky day agent
 email : william @ netlimit . com
 tel : 0031 - 615 - 181 - 873 .
 note : that all winning must be claimed not later than 27 th of june . 2005 . after this date all unclaimed funds will be returned . anybody under the age of 18 is automatically disqualified , do note every letters as clearly stated as we would not be held responsible if any hitch in this transaction due to laxity on your part . so you are to expedite action , failure to file - in for the release of your winning shall be compelled losing your fund . in order to avoid unnecessary delays and complications , kindly remember to quote your reference number in all correspondence .
 congratulations from our members of staff and thanks for being part of our
 promotional program .
 sincerely yours ,
 mrs . susan banks .
 lottery coordinator .
 award / final notification
 luckyday international lotterij de nederland .
 bezoekadres :
 laan van hoornwijck 55
 2289 dg rijswijk
 postadres
 postbus 3059
 2280 gb rijswijk
 website : www . luckyday . nl
 ref number : mli / mol 8 - pm 2031 / 05
 ticket number : 10034 - 73002
 lucky numbers : 06 , 14 , 22 , 27 , 46 , lucky ball , 36
 attention winner ,
 be informed of the result of the lucky day lotterij winners international programs held on the 27 th march 2005 . your e - mail address attached to ticket number 10034 - 73002 with drew lucky numbers 06 , 14 , 22 , 27 , 46 , lucky ball , 36 , which consequently won in the a category , been approved for the sum payout of euros 1000 . 000 . 00 ( one million euros ) only , this is from a total cash prize of euros 20 , 000 , 000 . 00 million shared among 20 international
 lucky winners in the category a ( plus + ) .
 due to mix up of information ? s , we ask that you keep your winning information very confidential till your claims has been processed as the beneficiary , and your prize / money is remitted or subsequently onward transfer into your nominated bank account . this is in conformity with the latest transfer regulations signed by the international lottery organization since this is part of our security protocol measures to avoid double claiming and unwarranted abuse of this program by some participants .
 all participants were selected through a computer ballot system drawn from companies and individual email addresses from all over the world . this promotional program takes place annually . congratulations ! ! ! to file for your claim , please contact our / your fiduciall agent :
 mr . williams henry
 lucky day agent
 email : william @ netlimit . com
 tel : 0031 - 615 - 181 - 873 .
 note : that all winning must be claimed not later than 27 th of june . 2005 . after this date all unclaimed funds will be returned . anybody under the age of 18 is automatically disqualified , do note every letters as clearly stated as we would not be held responsible if any hitch in this transaction due to laxity on your part . so you are to expedite action , failure to file - in for the release of your winning shall be compelled losing your fund . in order to avoid unnecessary delays and complications , kindly remember to quote your reference number in all correspondence .
 congratulations from our members of staff and thanks for being part of our
 promotional program .
 sincerely yours ,
 mrs . susan banks .
 lottery coordinator .
 award / final notification
 luckyday international lotterij de nederland .
 bezoekadres :
 laan van hoornwijck 55
 2289 dg rijswijk
 postadres
 postbus 3059
 2280 gb rijswijk
 website : www . luckyday . nl
 ref number : mli / mol 8 - pm 2031 / 05
 ticket number : 10034 - 73002
 lucky numbers : 06 , 14 , 22 , 27 , 46 , lucky ball , 36
 attention winner ,
 be informed of the result of the lucky day lotterij winners international programs held on the 27 th march 2005 . your e - mail address attached to ticket number 10034 - 73002 with drew lucky numbers 06 , 14 , 22 , 27 , 46 , lucky ball , 36 , which consequently won in the a category , been approved for the sum payout of euros 1000 . 000 . 00 ( one million euros ) only , this is from a total cash prize of euros 20 , 000 , 000 . 00 million shared among 20 international
 lucky winners in the category a ( plus + ) .
 due to mix up of information ? s , we ask that you keep your winning information very confidential till your claims has been processed as the beneficiary , and your prize / money is remitted or subsequently onward transfer into your nominated bank account . this is in conformity with the latest transfer regulations signed by the international lottery organization since this is part of our security protocol measures to avoid double claiming and unwarranted abuse of this program by some participants .
 all participants were selected through a computer ballot system drawn from companies and individual email addresses from all over the world . this promotional program takes place annually . congratulations ! ! ! to file for your claim , please contact our / your fiduciall agent :
 mr . williams henry
 lucky day agent
 email : william @ netlimit . com
 tel : 0031 - 615 - 181 - 873 .
 note : that all winning must be claimed not later than 27 th of june . 2005 . after this date all unclaimed funds will be returned . anybody under the age of 18 is automatically disqualified , do note every letters as clearly stated as we would not be held responsible if any hitch in this transaction due to laxity on your part . so you are to expedite action , failure to file - in for the release of your winning shall be compelled losing your fund . in order to avoid unnecessary delays and complications , kindly remember to quote your reference number in all correspondence .
 congratulations from our members of staff and thanks for being part of our
 promotional program .
 sincerely yours ,
 mrs . susan banks .
 lottery coordinator .
 check - out go . com
 go get your free go e - mail account with expanded storage of 6 mb !
 http : / / mail . go . com",1
"Subject: get rid of premature ejaculation and last longer
Message-ID: <GTUBE1.1010101@example.net>
Date: Wed, 23 Jul 2003 23:30:00 +0200
From: Sender <sender@example.net>
To: Recipient <recipient@example.net>
MIME-Version: 1.0
Content-Type: text/plain; charset=us-ascii
Content-Transfer-Encoding: 7bit

increase the length and girth of your penis
 http : / / www . retdehola . com / ss /
 whatever you are , be a good one .
 if you tell the truth you don ' t have to remember anything .
 who so loves believes the impossible .
 psychoanalysis is confession without absolution .
 it ' s hard to be funny when you have to be clean .",1
"Subject: pharma
Message-ID: <GTUBE1.1010101@example.net>
Date: Wed, 23 Jul 2003 23:30:00 +0200
From: Sender <sender@example.net>
To: Recipient <recipient@example.net>
MIME-Version: 1.0
Content-Type: text/plain; charset=us-ascii
Content-Transfer-Encoding: 7bit

stop wasting money on prescription drugs . get them online for 80 % off .
 vlagra , clalis , xanax , vallum , xenlcal , and many many more . . .
 stop paying more than you have too !
 visit us here : http : / / www . prescriptionnetmed . com / a / ? refid = 12",1
"Subject: yakubu lawal @ international trust bank plc .
Message-ID: <GTUBE1.1010101@example.net>
Date: Wed, 23 Jul 2003 23:30:00 +0200
From: Sender <sender@example.net>
To: Recipient <recipient@example.net>
MIME-Version: 1.0
Content-Type: text/plain; charset=us-ascii
Content-Transfer-Encoding: 7bit

dr yakubu lawal , head , operations manager , international trust bank plc . plot 84 / 88 , ajose adeogun street , victoria island , lagos nigeria .
 attention :
 confidential letterfirst , i must solicit your confidence in thistransaction , this is by virtue of its nature as beingutterly confidential and top secret . though i knowthat a transaction of this magnitude will make any oneapprehensive and worried , but i am assuring you thatall will be well at the end of the transaction .
 for the purpose of introduction , i am dr yakubu lawal , head , operations manager , international trust bank plc , in charge of personal and corporate accountsabove us $ 5 , 000 , 000 . 00 ( five million us dollars only ) . icame to know of you in my private search for areliable and reputable person to handle a veryconfidential transaction which involves the transferof a huge sum of money to a foreign account requiring maximum confidence . the proposition : a foreigner , late mr grahams peterson , an oilmerchant / contractor with the federal govenment ofnigeria , until his death three years ago in a ghastlyauto crash , banked with us here at international trustbank plc . , lagos , and had a closingbalance of usd $ 21 . 5 m ( twenty - one million , five hundredthousand united states dollars only ) which the banknow unquestionably expects to be claimed by any of hisavailable foreign next of kin or alternatively bedonated to a discredited trust fund for arms andammunition at a military war college here in nigeria . fervent valuable efforts are being made by the bank toget in touch with any of the peterson family orrelatives but all have proved to no avail . it isbecause of the perceived possibility of not going tobe able to locate any of late mr grahams peterson ' snext of kin ( he had no wife and children ) that themanagement under the influence of our chairman , boardof directors , retired major general kalu uke kalu , that an arrangement for the fund to be declared "" unclaimable "" and then be subsequently donated to thetrust fund for arms and ammunition which will furtherenhance the course of war in africa and the world ingeneral . in order to avert this negative development , myselfand some of my trusted colleagues in the bank now seekfor your permission to have you stand as late mrgrahams peterson ' s next of kin so that the fund , usd $ 21 . 5 m would be subsequently transferred and paidinto your bank account as the beneficiary next of kin . all documents and proves to enable you get this fundhave been carefully worked out and we are assuring youa 100 % risk free involvement . your share would be 30 % of the total amount , 5 % has been set aside for expenseswhile the rest would be for myself and my colleaguesfor investment purposes in your company or any countryof your choice where the returns on investment will beoptimal . if this proposal is acceptable to you and you do notwish to take advantage of the trust we hope to bestowon you and your company , then kindly get to meimmediately via my e - mail furnishing me with : 1 . the names you want to use for this transaction . 2 . your contact address 3 . your most confidential telephone number 4 . fax number 5 . exclusive e - mail so that i can forward to you therelevant details of this transaction . thank you in advance for your anticipatedco - operation .
 regards ,
 dr yakubu lawal , international trust bank plc
 walla ! mail - get your free lg mail today",1
"Subject: re : vallium vlagra clalls
Message-ID: <GTUBE1.1010101@example.net>
Date: Wed, 23 Jul 2003 23:30:00 +0200
From: Sender <sender@example.net>
To: Recipient <recipient@example.net>
MIME-Version: 1.0
Content-Type: text/plain; charset=us-ascii
Content-Transfer-Encoding: 7bit

hello , would you like to spennd less on your medlcatlons ?
 visit medications - by - mail shop and save over 75 % with us .
 va
 u
 ag
 c
 is
 ll
 mvl
 ra
 lal
 xandmanyother
 have a nice day .
 p . s . you will be pleasanntly surprised with our prices !",1
"Subject: no pumps , weights , or exercises for the new year
Message-ID: <GTUBE1.1010101@example.net>
Date: Wed, 23 Jul 2003 23:30:00 +0200
From: Sender <sender@example.net>
To: Recipient <recipient@example.net>
MIME-Version: 1.0
Content-Type: text/plain; charset=us-ascii
Content-Transfer-Encoding: 7bit

the amazing , new magna rx patch is not available in any stores or on other
 websites . accept no imitations ! order your male enhancement patch now through
 this exclusive website offer and get a 1 - month supply free ! one small investment
 in yourself will last a lifetime !
 - no pills or capsules
 - no lotions or cremes
 - no pumps , weights , or eercises
 - no prescription necssary
 - doctor designed endorsed
 - 100 % safe natural
 - more stamina energy
 - increase penis size by 2 to 4
 read
 more info here
 no
 more emailz
 uuzcy jyxqp xgyfc glkxn zveaf cbjug yrcgb djpls fffbi mrnfj
 ltzmb ijgbn ynpwi esfez ygsdw aazbi
 fscow xlqhw qqkox jkhrk",1
"Subject: bu ' y vicdoin at home
Message-ID: <GTUBE1.1010101@example.net>
Date: Wed, 23 Jul 2003 23:30:00 +0200
From: Sender <sender@example.net>
To: Recipient <recipient@example.net>
MIME-Version: 1.0
Content-Type: text/plain; charset=us-ascii
Content-Transfer-Encoding: 7bit

vlcodin and other inexpnsive medicnes - no prescription required order now and get shipping at no cost . .
 by far the cheapst deals you ' ve ever seen :
 vlagra from $ 60
 vallum from $ 70
 amblen from $ 63
 clalls from $ 91
 + more . . .",1
"Subject: save your money buy getting this thing here
Message-ID: <GTUBE1.1010101@example.net>
Date: Wed, 23 Jul 2003 23:30:00 +0200
From: Sender <sender@example.net>
To: Recipient <recipient@example.net>
MIME-Version: 1.0
Content-Type: text/plain; charset=us-ascii
Content-Transfer-Encoding: 7bit

you have not tried cialls yet ?
 than you cannot even imagine what it is like to be a real man in bed !
 the thing is that a great errrectlon is provided for you exactly when you want .
 ciails has a iot of advantaqes over viaqra
 - the effect iasts 36 hours !
 - you are ready to start within just 10 minutes !
 - you can mix it with alcohoi ! we ship to any country !
 get it riqht now ! .",1
